"subjectID","age","target","domain","parcellation","beta","hemisphere","region","process","label"
"s042",13,"other","academic","102",1.39572069696404,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",13,"other","social","102",0.470103581465695,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",16,"self","academic","102",1.48396459657477,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",16,"self","social","102",-2.1097349179036,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",16,"other","academic","102",1.82445898817745,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s042",16,"other","social","102",0.896424121317356,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s045",10,"self","academic","102",1.33948731258267,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s045",10,"self","social","102",1.51029481305967,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s045",10,"other","academic","102",-0.110492618391918,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s045",10,"other","social","102",3.45497220364052,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s045",13,"self","academic","102",-0.222653756029235,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s045",13,"self","social","102",-2.75285235005284,"left","rmPFC_BA10","other","left_rmPFC_BA10"
"s045",13,"other","academic","102",1.71938631793904,"left","rmPFC_BA10","other","left_rmPFC_BA10"
